number,title,depth,part,chapter,start_pdf_page,end_pdf_page_hierarchical,end_pdf_page_atomic,hierarchical_file,atomic_file,hierarchical_utf8_bytes,atomic_utf8_bytes
13.1.2,Is Physics Fun?,3,3,13,838,840,840,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.01.02_is_physics_fun.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.01.02_is_physics_fun.md,4136,4136
13.1.3,Impact of Physics on a Game,3,3,13,840,842,842,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.01.03_impact_of_physics_on_a_game.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.01.03_impact_of_physics_on_a_game.md,5540,5540
13.2,Collision/Physics Middleware,2,3,13,842,844,842,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.02_collision_physics_middleware.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.02_collision_physics_middleware.md,4837,828
13.2.1,ODE,3,3,13,842,842,842,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.02.01_ode.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.02.01_ode.md,656,656
13.2.2,Bullet,3,3,13,843,843,843,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.02.02_bullet.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.02.02_bullet.md,867,867
13.2.3,TrueAxis,3,3,13,843,843,843,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.02.03_trueaxis.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.02.03_trueaxis.md,306,306
13.2.4,PhysX,3,3,13,843,843,843,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.02.04_physx.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.02.04_physx.md,1032,1032
13.2.5,Havok,3,3,13,843,844,844,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.02.05_havok.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.02.05_havok.md,909,909
13.2.6,Physics Abstraction Layer (PAL),3,3,13,844,844,844,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.02.06_physics_abstraction_layer_pal.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.02.06_physics_abstraction_layer_pal.md,519,519
13.2.7,Digital Molecular Matter (DMM),3,3,13,844,844,844,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.02.07_digital_molecular_matter_dmm.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.02.07_digital_molecular_matter_dmm.md,731,731
13.3,The Collision Detection System,2,3,13,844,873,845,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.03_the_collision_detection_system.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.03_the_collision_detection_system.md,64149,2267
13.3.1,Collidable Entities,3,3,13,845,846,846,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.03.01_collidable_entities.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.03.01_collidable_entities.md,3809,3809
13.3.2,The Collision/Physics World,3,3,13,847,848,848,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.03.02_the_collision_physics_world.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.03.02_the_collision_physics_world.md,3690,3690
13.3.3,Shape Concepts,3,3,13,848,849,849,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.03.03_shape_concepts.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.03.03_shape_concepts.md,4154,4154
13.3.4,Collision Primitives,3,3,13,849,855,855,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.03.04_collision_primitives.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.03.04_collision_primitives.md,10428,10428
13.3.5,Collision Testing and Analytical Geometry,3,3,13,855,864,864,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.03.05_collision_testing_and_analytical_geometry.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.03.05_collision_testing_and_analytical_geometry.md,21223,21223
13.3.6,Performance Optimizations,3,3,13,864,866,866,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.03.06_performance_optimizations.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.03.06_performance_optimizations.md,4519,4519
13.3.7,Collision Queries,3,3,13,866,871,871,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.03.07_collision_queries.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.03.07_collision_queries.md,11751,11751
13.3.8,Collision Filtering,3,3,13,871,873,873,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.03.08_collision_filtering.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.03.08_collision_filtering.md,3741,3741
13.4,Rigid Body Dynamics,2,3,13,873,911,874,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.04_rigid_body_dynamics.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.04_rigid_body_dynamics.md,83316,4669
13.4.1,Some Foundations,3,3,13,875,876,876,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.04.01_some_foundations.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.04.01_some_foundations.md,4809,4809
13.4.2,Linear Dynamics,3,3,13,877,878,878,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.04.02_linear_dynamics.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.04.02_linear_dynamics.md,3187,3187
13.4.3,Solving the Equations of Motion,3,3,13,879,880,880,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.04.03_solving_the_equations_of_motion.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.04.03_solving_the_equations_of_motion.md,3957,3957
